,mainVariableName,sub0,sub1,sub2
752,3,7,2,9
753,2,6,0,9
754,2,4,8,5
755,2,6,0,3
756,2,1,3,1
757,2,0,1,0
758,2,8,3,7
759,3,5,8,8
760,3,7,2,5
761,3,2,5,6
762,2,0,10,6
763,2,3,3,7
764,2,6,1,9
765,0,6,6,2
766,0,5,5,5
767,0,5,5,2
768,2,5,8,5
769,2,9,9,9
770,2,1,4,2
771,0,8,7,3
772,0,0,1,4
773,0,8,6,3
774,2,5,8,0
775,2,9,1,1
776,2,7,4,4
777,2,0,8,9
778,2,1,2,7
779,2,7,8,7
780,2,3,4,7
781,2,4,4,0
782,2,9,2,7
783,2,6,3,1
784,2,1,2,6
785,2,7,1,1
786,2,2,0,5
787,2,5,8,6
788,2,0,1,6
789,3,9,1,6
790,3,7,8,4
791,3,7,0,5
792,0,3,8,5
793,0,0,4,3
794,0,2,7,9
795,2,8,8,6
796,2,6,5,2
797,2,1,3,3
798,1,0,6,0
799,1,0,9,2
800,1,6,5,0
801,0,8,7,3
802,0,3,8,5
803,0,6,0,0
804,0,3,7,0
805,0,1,0,5
806,0,3,5,0
807,0,5,5,4
808,0,8,9,3
809,0,8,8,0
810,3,5,10,4
811,3,6,0,4
812,3,3,9,8
813,3,6,10,2
814,3,6,3,5
815,3,6,1,4
816,5,8,3,1
817,5,8,7,6
818,5,9,3,6
819,5,4,3,6
820,5,6,6,6
821,5,2,3,6
822,2,6,4,1
823,2,10,8,5
824,2,10,8,5
825,1,9,9,9
826,1,5,2,9
827,1,5,6,6
828,3,7,1,6
829,3,5,2,8
830,3,6,0,6
831,2,9,8,2
832,2,8,3,1
833,2,2,8,4
834,5,7,8,6
835,5,8,3,6
836,5,0,3,7
837,3,5,2,4
838,3,3,0,6
839,3,7,9,1
840,3,6,3,8
841,3,3,7,3
842,3,7,2,8
843,2,2,5,1
844,2,2,6,2
845,2,9,8,5
846,5,9,0,6
847,5,4,0,6
848,5,9,4,2
849,2,7,2,2
850,2,0,8,8
851,2,10,5,7
852,5,9,4,2
853,5,5,0,2
854,5,8,5,2
855,2,9,8,0
856,2,9,2,5
857,2,8,9,7
858,1,7,5,2
859,1,9,5,4
860,1,0,1,9
861,2,8,0,3
